Commodity,Year,Month,Average,Temp,Humidity,Precipitation
Carrot(Local),2015,1,43.29,50.46,72.79,0.06
Carrot(Local),2015,2,25.6,54.88,73.27,0.51
Carrot(Local),2015,3,23.13,60.47,71.38,3.17
Carrot(Local),2015,4,31.7,64.43,71.52,2.16
Carrot(Local),2015,5,23.43,72.71,67.68,1.69
Carrot(Local),2015,6,34.63,75.73,72.69,4.71
Carrot(Local),2015,7,59.98,74.28,87.29,12.84
Carrot(Local),2015,8,63.63,74.6,86.55,9.6
Carrot(Local),2015,9,75.92,72.92,85.63,7.45
Carrot(Local),2015,10,92.18,68.03,77.61,2.1
Carrot(Local),2015,11,68.67,59.17,75.13,0.01
Carrot(Local),2015,12,45.84,52.45,73.98,0.2
Carrot(Local),2016,1,37.2,50.52,72.24,0.16
Carrot(Local),2016,2,26.47,55.24,70.11,0.74
Carrot(Local),2016,3,26.41,62.06,64.41,1.42
Carrot(Local),2016,4,48.55,67.24,63.35,1.95
Carrot(Local),2016,5,54.16,70.59,73.56,4.13
Carrot(Local),2016,6,75.5,74.77,79.22,7.44
Carrot(Local),2016,7,109.27,73.47,87.99,14.97
Carrot(Local),2016,8,101.21,74.87,83.64,7.08
Carrot(Local),2016,9,124.67,72.12,85.63,7.34
Carrot(Local),2016,10,135.42,68.13,78.37,2.25
Carrot(Local),2016,11,97.65,58.71,74.61,0.02
Carrot(Local),2016,12,63.97,54.09,74.03,0.0
Carrot(Local),2017,1,46.45,50.02,69.85,0.38
Carrot(Local),2017,2,27.41,56.95,68.09,0.0
Carrot(Local),2017,3,27.45,59.89,67.63,2.65
Carrot(Local),2017,4,39.63,68.18,63.4,1.99
Carrot(Local),2017,5,49.67,70.64,74.06,3.97
Carrot(Local),2017,6,62.88,74.82,77.64,7.81
Carrot(Local),2017,7,75.89,74.36,85.76,8.42
Carrot(Local),2017,8,65.08,74.22,87.24,8.9
Carrot(Local),2017,9,68.88,74.08,82.05,4.28
Carrot(Local),2017,10,78.53,69.17,76.13,2.06
Carrot(Local),2017,11,96.0,59.28,74.73,0.0
Carrot(Local),2017,12,70.83,53.67,72.59,0.0
Carrot(Local),2018,1,45.55,49.26,71.85,0.36
Carrot(Local),2018,2,32.18,56.45,66.13,0.06
Carrot(Local),2018,3,28.53,63.15,60.75,1.02
Carrot(Local),2018,4,38.48,66.71,67.84,2.7
Carrot(Local),2018,5,52.66,70.61,74.61,5.03
Carrot(Local),2018,6,80.92,74.46,81.32,8.53
Carrot(Local),2018,7,105.32,74.36,87.96,9.79
Carrot(Local),2018,8,108.79,73.84,89.26,12.13
Carrot(Local),2018,9,139.57,73.22,83.61,4.43
Carrot(Local),2018,10,105.73,64.93,74.09,2.59
Carrot(Local),2018,11,116.08,57.59,74.79,0.03
Carrot(Local),2018,12,73.23,51.0,73.63,0.0
Carrot(Local),2019,1,45.05,49.48,73.45,0.12
Carrot(Local),2019,2,22.07,53.72,72.62,1.31
Carrot(Local),2019,3,21.5,59.88,65.27,1.52
Carrot(Local),2019,4,24.88,67.25,75.05,2.64
Carrot(Local),2019,5,39.34,72.52,66.33,3.59
Carrot(Local),2019,6,70.83,75.46,77.68,4.26
Carrot(Local),2019,7,96.85,74.34,87.37,12.86
Carrot(Local),2019,8,97.39,75.44,85.48,7.47
Carrot(Local),2019,9,97.5,71.82,88.85,9.42
Carrot(Local),2019,10,118.62,66.95,79.95,0.19
Carrot(Local),2019,11,122.58,61.61,78.85,0.01
Carrot(Local),2019,12,89.92,50.57,76.55,1.11
Carrot(Local),2020,1,52.39,48.92,79.61,0.22
Carrot(Local),2020,2,32.84,53.64,75.56,1.63
Carrot(Local),2020,3,33.5,60.37,68.97,2.01
Carrot(Local),2020,4,30.48,65.3,68.77,2.5
Carrot(Local),2020,5,25.08,69.76,76.53,3.13
Carrot(Local),2020,6,35.95,73.29,86.33,4.3
Carrot(Local),2020,7,55.67,73.94,89.84,16.13
Carrot(Local),2020,8,56.05,75.17,87.94,7.77
Carrot(Local),2020,9,49.75,73.58,87.78,10.04
Carrot(Local),2020,10,111.92,70.23,77.07,0.1
Carrot(Local),2020,11,75.17,58.58,72.64,0.01
Carrot(Local),2020,12,82.98,52.01,73.04,0.0
Carrot(Local),2021,1,85.97,51.98,70.13,0.07
Carrot(Local),2021,2,52.69,55.87,68.69,0.56
Carrot(Local),2021,3,52.75,63.28,59.09,0.21
Carrot(Local),2021,4,71.42,67.09,52.98,1.52
Carrot(Local),2021,5,52.88,69.32,78.84,3.8
Cauli Local,2015,1,25.25,50.46,72.79,0.06
Cauli Local,2015,2,19.12,54.88,73.27,0.51
Cauli Local,2015,3,16.06,60.47,71.38,3.17
Cauli Local,2015,4,26.14,64.43,71.52,2.16
Cauli Local,2015,5,20.25,72.71,67.68,1.69
Cauli Local,2015,6,47.28,75.73,72.69,4.71
Cauli Local,2015,7,53.89,74.28,87.29,12.84
Cauli Local,2015,8,46.81,74.6,86.55,9.6
Cauli Local,2015,9,49.58,72.92,85.63,7.45
Cauli Local,2015,10,42.6,68.03,77.61,2.1
Cauli Local,2015,11,26.22,59.17,75.13,0.01
Cauli Local,2015,12,35.53,52.45,73.98,0.2
Cauli Local,2016,1,28.03,50.52,72.24,0.16
Cauli Local,2016,2,27.33,55.24,70.11,0.74
Cauli Local,2016,3,36.34,62.06,64.41,1.42
Cauli Local,2016,4,57.08,67.24,63.35,1.95
Cauli Local,2016,5,62.42,70.59,73.56,4.13
Cauli Local,2016,6,43.15,74.77,79.22,7.44
Cauli Local,2016,7,58.87,73.47,87.99,14.97
Cauli Local,2016,8,55.13,74.87,83.64,7.08
Cauli Local,2016,9,77.75,72.12,85.63,7.34
Cauli Local,2016,10,68.87,68.13,78.37,2.25
Cauli Local,2016,11,72.83,58.71,74.61,0.02
Cauli Local,2016,12,33.76,54.09,74.03,0.0
Cauli Local,2017,1,27.92,50.02,69.85,0.38
Cauli Local,2017,2,18.72,56.95,68.09,0.0
Cauli Local,2017,3,21.48,59.89,67.63,2.65
Cauli Local,2017,4,28.55,68.18,63.4,1.99
Cauli Local,2017,5,45.17,70.64,74.06,3.97
Cauli Local,2017,6,62.38,74.82,77.64,7.81
Cauli Local,2017,7,58.47,74.36,85.76,8.42
Cauli Local,2017,8,67.58,74.22,87.24,8.9
Cauli Local,2017,9,74.28,74.08,82.05,4.28
Cauli Local,2017,10,71.85,69.17,76.13,2.06
Cauli Local,2017,11,64.88,59.28,74.73,0.0
Cauli Local,2017,12,29.29,53.67,72.59,0.0
Cauli Local,2018,1,35.8,49.26,71.85,0.36
Cauli Local,2018,2,40.05,56.45,66.13,0.06
Cauli Local,2018,3,39.07,63.15,60.75,1.02
Cauli Local,2018,4,50.83,66.71,67.84,2.7
Cauli Local,2018,5,35.02,70.61,74.61,5.03
Cauli Local,2018,6,70.55,74.46,81.32,8.53
Cauli Local,2018,7,50.56,74.36,87.96,9.79
Cauli Local,2018,8,79.19,73.84,89.26,12.13
Cauli Local,2018,9,98.67,73.22,83.61,4.43
Cauli Local,2018,10,57.66,64.93,74.09,2.59
Cauli Local,2018,11,23.83,57.59,74.79,0.03
Cauli Local,2018,12,33.39,51.0,73.63,0.0
Cauli Local,2019,1,28.48,49.48,73.45,0.12
Cauli Local,2019,2,17.0,53.72,72.62,1.31
Cauli Local,2019,3,20.12,59.88,65.27,1.52
Cauli Local,2019,4,33.88,67.25,75.05,2.64
Cauli Local,2019,5,61.94,72.52,66.33,3.59
Cauli Local,2019,6,79.42,75.46,77.68,4.26
Cauli Local,2019,7,74.6,74.34,87.37,12.86
Cauli Local,2019,8,82.23,75.44,85.48,7.47
Cauli Local,2019,9,86.08,71.82,88.85,9.42
Cauli Local,2019,10,95.16,66.95,79.95,0.19
Cauli Local,2019,11,90.33,61.61,78.85,0.01
Cauli Local,2019,12,86.21,50.57,76.55,1.11
Cauli Local,2020,1,47.82,48.92,79.61,0.22
Cauli Local,2020,2,23.93,53.64,75.56,1.63
Cauli Local,2020,3,29.79,60.37,68.97,2.01
Cauli Local,2020,4,22.56,65.3,68.77,2.5
Cauli Local,2020,5,18.27,69.76,76.53,3.13
Cauli Local,2020,6,28.17,73.29,86.33,4.3
Cauli Local,2020,7,86.38,73.94,89.84,16.13
